iter	Logloss
0	0.6422661725
1	0.5977425151
2	0.5587079295
3	0.5244854088
4	0.4906336178
5	0.4614540118
6	0.4360410824
7	0.4139190021
8	0.3946776209
9	0.3777033472
10	0.3631511565
11	0.3534311911
12	0.3419769482
13	0.3322195642
14	0.3229745589
15	0.3147172964
16	0.3075085476
17	0.3011883578
18	0.2953296656
19	0.2897231118
20	0.2853453903
21	0.2810685678
22	0.2768354109
23	0.2731079444
24	0.2702169224
25	0.2688061609
26	0.266794511
27	0.2642415409
28	0.2617461845
29	0.259946077
30	0.2579600159
31	0.2569190333
32	0.2558964268
33	0.2543970825
34	0.2534253346
35	0.2521575494
36	0.2518092944
37	0.2508506525
38	0.2499896964
39	0.2488971894
40	0.2479345769
41	0.2470753969
42	0.2464037194
43	0.2454421719
44	0.2445917546
45	0.2439212702
46	0.2431771745
47	0.2425829205
48	0.2417981801
49	0.2413234916
50	0.2408131381
51	0.2402533586
52	0.2398235634
53	0.2394722634
54	0.2391700247
55	0.2391375921
56	0.2385521869
57	0.238155082
58	0.2379256871
59	0.2374166106
60	0.2371422941
61	0.2368226929
62	0.2365068239
63	0.2360773867
64	0.2357460544
65	0.2354845604
66	0.2354123288
67	0.2353568604
68	0.2352434305
69	0.2347714856
70	0.2345715676
71	0.2342685769
72	0.2339892488
73	0.2338115289
74	0.2335416871
75	0.2330252641
76	0.2329810221
77	0.2326991349
78	0.2323581738
79	0.2323332156
80	0.232205762
81	0.2318632032
82	0.2316375781
83	0.2314744213
84	0.2313353965
85	0.2311936444
86	0.2308984908
87	0.2307539504
88	0.2306361742
89	0.2305033166
90	0.2301764712
91	0.229966149
92	0.229885691
93	0.2298104455
94	0.2296767844
95	0.2295250322
96	0.2291877506
97	0.2288479704
98	0.2286621695
99	0.2284558474
100	0.2281561341
101	0.2276377828
102	0.2274829851
103	0.2273171661
104	0.2270843351
105	0.2269226124
106	0.2265707342
107	0.2264477299
108	0.2261888705
109	0.2260187202
110	0.2258547033
111	0.2257852371
112	0.2255891862
113	0.2253810101
114	0.2253157713
115	0.225040517
116	0.2248487486
117	0.2247218013
118	0.2243083491
119	0.2242727436
120	0.2240800662
121	0.2240321667
122	0.2239330913
123	0.223836081
124	0.2236719407
125	0.223329178
126	0.2231331737
127	0.2229125861
128	0.2226337926
129	0.2226282901
130	0.222563483
131	0.222541712
132	0.2225101465
133	0.2224486846
134	0.2223680521
135	0.2222963886
136	0.2222281659
137	0.2220260336
138	0.2217552727
139	0.2216259603
140	0.221386451
141	0.2212670859
142	0.2211272016
143	0.2211250789
144	0.2208426288
145	0.2207824221
146	0.2206980245
147	0.2206124083
148	0.220478007
149	0.2203684109
150	0.2199653451
151	0.219551606
152	0.2193637549
153	0.2191158387
154	0.2190009894
155	0.2189418422
156	0.218775197
157	0.218759914
158	0.218662103
159	0.2184599556
160	0.21835435
161	0.2181175439
162	0.2179357902
163	0.2177767687
164	0.2176601996
165	0.2175512908
166	0.2174206503
167	0.2172322803
168	0.2170201024
169	0.2169670446
170	0.2168556543
171	0.216683701
172	0.2166834844
173	0.2166044162
174	0.2163999316
175	0.2163154715
176	0.2160951003
177	0.2157581159
178	0.2157162119
179	0.215654557
180	0.2155503816
181	0.2153793835
182	0.2152650768
183	0.2150776635
184	0.2148328453
185	0.2146568492
186	0.2145373001
187	0.2144624066
188	0.2143087556
189	0.2141844765
190	0.2140499723
191	0.2137243982
192	0.2136119075
193	0.2134740089
194	0.213348321
195	0.2131356966
196	0.2128992405
197	0.2127380916
198	0.2126445375
199	0.2125175362
200	0.212419402
201	0.2123063639
202	0.2121712054
203	0.2121615386
204	0.2120490692
205	0.2118975382
206	0.2118792336
207	0.2117791952
208	0.2116103375
209	0.2115037455
210	0.2114593659
211	0.2112238268
212	0.2111576527
213	0.2110518262
214	0.2108274563
215	0.2106505215
216	0.2104116897
217	0.2102525816
218	0.2101480771
219	0.2101102536
220	0.2099407005
221	0.2097118821
222	0.2096196114
223	0.2094791898
224	0.2093451488
225	0.2092209913
226	0.2089756842
227	0.2088252565
228	0.2086369554
229	0.2084210764
230	0.2082315951
231	0.2080448629
232	0.2078766837
233	0.2076318614
234	0.2073861945
235	0.2072478418
236	0.2071761153
237	0.2069834139
238	0.206856372
239	0.2067836013
240	0.2066568445
241	0.2064683756
242	0.2062840069
243	0.2060968272
244	0.2060180291
245	0.2059127356
246	0.2057740355
247	0.2056903302
248	0.205610019
249	0.2054790327
250	0.2054309807
251	0.2053597991
252	0.2051143519
253	0.2050225777
254	0.2048811049
255	0.2048093407
256	0.2047308732
257	0.204635829
258	0.2045388181
259	0.2043810996
260	0.2041427284
261	0.2040720361
262	0.2039980007
263	0.2038408233
264	0.2035866309
265	0.2035068647
266	0.2033521351
267	0.2029987749
268	0.2027681908
269	0.2026612376
270	0.2025516402
271	0.202464954
272	0.2023563926
273	0.2020773946
274	0.2020065965
275	0.2018434739
276	0.2016333545
277	0.2015522649
278	0.2013705285
279	0.2012700461
280	0.2011593573
281	0.2010710134
282	0.200990024
283	0.2009041986
284	0.2008069237
285	0.2006372871
286	0.200450158
287	0.2003299101
288	0.2002697246
289	0.200054819
290	0.1999574086
291	0.1998777872
292	0.1997152748
293	0.1995773478
294	0.1994768176
295	0.1994014928
296	0.1993718568
297	0.1992453539
298	0.1991011192
299	0.1989712449
300	0.1987674528
301	0.1986426461
302	0.1985828347
303	0.1984496747
304	0.1982586337
305	0.1981779741
306	0.1980393849
307	0.197910281
308	0.197795401
309	0.1976524475
310	0.1974827009
311	0.1974076369
312	0.1972963468
313	0.1972268672
314	0.1971057544
315	0.196961565
316	0.1968882438
317	0.1966487749
318	0.1965331291
319	0.1964087728
320	0.1963836762
321	0.1962735544
322	0.1961691151
323	0.1960402271
324	0.1958548895
325	0.1956844741
326	0.1955733405
327	0.1953323049
328	0.1951702435
329	0.1950206786
330	0.1948452717
331	0.1947319545
332	0.194580536
333	0.1945504099
334	0.1944801213
335	0.1944266444
336	0.1943304887
337	0.194183672
338	0.1940361676
339	0.1939993406
340	0.1939150024
341	0.1938399522
342	0.1935644377
343	0.1934397462
344	0.1933718931
345	0.1932265147
346	0.1931254663
347	0.1930176033
348	0.192876088
349	0.1927633692
350	0.1926148829
351	0.1925545428
352	0.1924362856
353	0.1923697683
354	0.192234383
355	0.1921776913
356	0.1920889296
357	0.1917949418
358	0.1915926393
359	0.191505446
360	0.1914652173
361	0.1913862764
362	0.1912021713
363	0.191086193
364	0.1908682044
365	0.1907394319
366	0.1904934641
367	0.1903341949
368	0.1901706751
369	0.1900435385
370	0.1899565917
371	0.1898513761
372	0.1897065952
373	0.1896434933
374	0.1895759501
375	0.1894676261
376	0.1893686878
377	0.1892788552
378	0.1892516743
379	0.1891616381
380	0.1891025552
381	0.1890364924
382	0.1889631633
383	0.1888745581
384	0.1888243699
385	0.1886707959
386	0.1886328334
387	0.1885283023
388	0.1884222517
389	0.1883224389
390	0.1882742741
391	0.1881762554
392	0.1879409583
393	0.1878030873
394	0.1877136139
395	0.1875940494
396	0.187483954
397	0.1874209535
398	0.1872520984
399	0.1871014006
