iter	Passed	Remaining
0	38	15204
1	63	12566
2	82	10889
3	114	11361
4	155	12246
5	177	11653
6	201	11290
7	231	11363
8	275	11950
9	315	12321
10	332	11760
11	342	11089
12	362	10793
13	377	10407
14	416	10685
15	455	10933
16	493	11119
17	531	11284
18	573	11492
19	619	11778
20	658	11876
21	701	12056
22	742	12163
23	780	12233
24	820	12303
25	829	11932
26	850	11746
27	886	11771
28	925	11843
29	962	11871
30	998	11880
31	1026	11807
32	1053	11713
33	1090	11742
34	1127	11757
35	1166	11792
36	1175	11532
37	1215	11582
38	1256	11630
39	1294	11650
40	1339	11729
41	1386	11818
42	1437	11935
43	1483	11999
44	1526	12044
45	1571	12094
46	1610	12093
47	1648	12086
48	1686	12082
49	1724	12068
50	1760	12047
51	1800	12049
52	1837	12027
53	1873	12002
54	1911	11988
55	1921	11806
56	1961	11806
57	1997	11778
58	2035	11766
59	2074	11752
60	2112	11737
61	2151	11730
62	2190	11717
63	2227	11696
64	2273	11717
65	2312	11703
66	2330	11583
67	2344	11448
68	2394	11486
69	2432	11466
70	2478	11484
71	2520	11480
72	2558	11461
73	2599	11451
74	2637	11429
75	2674	11403
76	2690	11286
77	2733	11283
78	2779	11294
79	2812	11250
80	2859	11261
81	2907	11277
82	2950	11270
83	2994	11264
84	3038	11260
85	3081	11252
86	3126	11248
87	3173	11252
88	3218	11247
89	3264	11242
90	3311	11243
91	3354	11229
92	3397	11214
93	3442	11205
94	3488	11198
95	3532	11186
96	3574	11166
97	3622	11163
98	3668	11153
99	3711	11134
100	3752	11108
101	3789	11070
102	3826	11034
103	3867	11006
104	3906	10975
105	3945	10944
106	3985	10914
107	4027	10888
108	4065	10854
109	4104	10820
110	4142	10784
111	4182	10753
112	4237	10762
113	4279	10736
114	4321	10708
115	4359	10673
116	4398	10639
117	4439	10609
118	4480	10579
119	4510	10523
120	4547	10485
121	4587	10453
122	4623	10411
123	4661	10376
124	4699	10339
125	4739	10305
126	4776	10268
127	4817	10237
128	4857	10203
129	4874	10124
130	4911	10085
131	4935	10020
132	4958	9954
133	4994	9915
134	5032	9878
135	5072	9847
136	5113	9815
137	5151	9780
138	5186	9739
139	5222	9698
140	5257	9657
141	5298	9626
142	5337	9593
143	5360	9529
144	5399	9495
145	5430	9447
146	5466	9408
147	5502	9368
148	5538	9329
149	5577	9295
150	5616	9260
151	5653	9223
152	5694	9193
153	5734	9160
154	5771	9122
155	5808	9085
156	5848	9051
157	5875	8998
158	5914	8964
159	5956	8935
160	5994	8898
161	6031	8860
162	6069	8824
163	6106	8786
164	6140	8745
165	6177	8707
166	6214	8670
167	6257	8640
168	6295	8605
169	6328	8561
170	6371	8532
171	6411	8498
172	6428	8434
173	6464	8396
174	6501	8358
175	6540	8323
176	6574	8282
177	6614	8249
178	6652	8213
179	6690	8177
180	6733	8146
181	6771	8111
182	6812	8078
183	6851	8043
184	6890	8007
185	6928	7972
186	6969	7938
187	7007	7901
188	7046	7867
189	7083	7828
190	7122	7793
191	7163	7760
192	7203	7725
193	7241	7689
194	7280	7654
195	7320	7619
