iter	Passed	Remaining
0	34	8568
1	62	7712
2	97	7996
3	137	8459
4	179	8807
5	221	9017
6	264	9197
7	300	9090
8	338	9067
9	377	9066
10	395	8588
11	435	8632
12	444	8112
13	465	7839
14	489	7668
15	529	7738
16	538	7379
17	571	7359
18	614	7473
19	655	7539
20	696	7597
21	753	7806
22	794	7839
23	834	7853
24	874	7873
25	914	7876
26	957	7904
27	996	7903
28	1035	7893
29	1078	7908
30	1122	7928
31	1163	7923
32	1204	7922
33	1246	7917
34	1287	7906
35	1330	7908
36	1375	7917
37	1416	7900
38	1457	7882
39	1498	7865
40	1539	7845
41	1578	7815
42	1620	7800
43	1661	7779
44	1703	7761
45	1743	7731
46	1786	7715
47	1827	7690
48	1868	7665
49	1911	7644
50	1953	7621
51	1994	7593
52	2035	7567
53	2076	7537
54	2086	7396
55	2127	7370
56	2170	7349
57	2215	7334
58	2257	7306
59	2296	7272
60	2334	7234
61	2377	7208
62	2418	7177
63	2457	7142
64	2502	7121
65	2542	7088
66	2584	7058
67	2625	7026
68	2665	6991
69	2704	6955
70	2746	6924
71	2790	6899
72	2832	6867
73	2873	6833
74	2915	6802
75	2956	6769
76	2998	6737
77	3040	6704
78	3082	6672
79	3125	6640
80	3166	6607
81	3208	6572
82	3248	6535
83	3289	6500
84	3329	6462
85	3368	6423
86	3410	6390
87	3449	6350
88	3495	6322
89	3535	6285
90	3585	6264
91	3628	6231
92	3648	6159
93	3689	6122
94	3728	6082
95	3770	6048
96	3803	5999
97	3846	5966
98	3887	5929
99	3928	5892
100	3973	5862
101	4015	5826
102	4055	5788
103	4096	5750
104	4140	5717
105	4182	5682
106	4221	5641
107	4261	5602
108	4283	5541
109	4324	5503
110	4364	5465
111	4393	5412
112	4435	5377
113	4479	5344
114	4524	5310
115	4566	5275
116	4606	5236
117	4650	5201
118	4691	5164
119	4733	5127
120	4775	5091
121	4818	5055
122	4860	5019
123	4901	4980
124	4942	4942
125	4987	4908
126	5029	4871
127	5074	4836
128	5118	4800
129	5161	4764
130	5200	4724
131	5221	4667
132	5263	4630
133	5304	4592
134	5349	4557
135	5391	4519
136	5433	4481
137	5475	4443
138	5518	4406
139	5559	4368
140	5599	4328
141	5642	4291
142	5683	4252
143	5722	4212
144	5765	4174
145	5806	4136
146	5822	4079
147	5864	4041
148	5908	4005
149	5950	3967
150	5994	3930
151	6034	3890
152	6077	3852
153	6119	3814
154	6161	3776
155	6206	3739
156	6248	3701
157	6290	3662
158	6331	3623
159	6374	3585
160	6417	3547
161	6458	3508
162	6501	3469
163	6543	3431
164	6587	3393
165	6629	3354
166	6676	3318
167	6719	3279
168	6763	3241
169	6804	3202
170	6845	3162
171	6888	3124
172	6930	3084
173	6974	3046
174	7017	3007
175	7062	2969
176	7104	2929
177	7144	2889
178	7179	2847
179	7220	2808
180	7262	2768
181	7304	2729
182	7347	2689
183	7389	2650
184	7432	2611
185	7471	2570
186	7513	2531
187	7554	2491
188	7597	2452
189	7640	2412
190	7684	2373
191	7726	2334
192	7770	2294
193	7811	2254
194	7859	2216
195	7903	2177
196	7945	2137
197	7991	2098
198	8034	2059
199	8078	2019
200	8120	1979
201	8166	1940
202	8212	1901
203	8255	1861
204	8298	1821
205	8339	1781
206	8380	1740
207	8422	1700
208	8465	1660
209	8507	1620
210	8549	1580
211	8591	1539
212	8633	1499
213	8673	1459
214	8715	1418
215	8757	1378
216	8797	1337
217	8838	1297
218	8881	1257
219	8922	1216
220	8964	1176
221	9009	1136
222	9051	1095
223	9099	1056
224	9142	1015
225	9181	975
226	9221	934
227	9262	893
228	9302	853
229	9344	812
230	9386	772
231	9429	731
232	9471	691
233	9511	650
234	9553	609
235	9596	569
236	9638	528
237	9681	488
238	9722	447
239	9764	406
240	9805	366
241	9846	325
242	9890	284
243	9930	244
244	9973	203
245	10014	162
246	10055	122
247	10096	81
248	10135	40
249	10184	0
