road_type,intersection_degree,distance_to_major_road
primary,4,1.3970654254011712
primary,3,12.149316622379262
primary,3,0.6557698108422089
primary,3,1.2806973789180618
tertiary,4,10.202607142324178
primary,4,4.9601738164031115
trunk_link,3,1.8450097498839328
residential,3,7.5936766601346255
tertiary,4,12.146544567184678
primary,4,0.433760088983213
primary,3,6.643645423604988
primary,3,12.90909783188434
tertiary,3,14.057767908105477
tertiary,4,4.485383159736958
trunk,3,0.3991407067887154
primary,3,3.9632587140142994
tertiary,3,17.305864021426366
trunk,3,2.6969378876218877
trunk,3,0.3001219552440713
residential,3,26.761943988451993
primary,4,3.9361315190313344
trunk,3,3.266327875636962
primary,3,22.182925286224755
trunk,3,2.255163395686867
trunk,3,4.487064173241076
motorway,3,1.1351092069738364
trunk,3,1.9357756134722863
primary,3,0.9897578086887617
residential,3,35.91807858872992
secondary,4,5.2116792365511255
primary,3,2.3775684125838326
primary,3,0.30153376891325
secondary,3,4.689838102651813
secondary,3,0.8991092727877404
trunk_link,4,4.785813028244431
trunk,3,6.603138917856942
tertiary,3,24.9520519836758
trunk,3,1.931930457493896
trunk,1,3.683840812888574
primary,3,13.191620340659709
primary,3,2.6711204279791785
trunk,3,4.864508317634755
trunk,4,0.3247305073218454
primary,3,11.641099561507097
trunk,3,6.744050362073471
primary,4,4.4680109197841125
residential,3,75.01521162214348
primary,3,3.3554095559339605
tertiary,3,52.74254152669251
primary,4,13.780591940736707
primary,4,15.654898814025405
primary,4,16.296050232875356
primary,4,16.568587718715385
residential,3,47.068842424011414
tertiary,3,540.3610299223534
primary,4,2.0515831691739064
primary,4,10.508311940863335
tertiary,3,29.22617631578629
primary,3,0.7914701137953897
primary,3,0.7914701137953897
primary,4,2.1445612747377254
primary,3,10.239340611533443
tertiary,1,10.343418468372986
primary,3,8.83104717376551
tertiary,3,8.878161566841435
tertiary,3,112.18751709425341
trunk,3,0.4199024967565941
tertiary,3,26.31891508155287
secondary,3,5.004971203047036
primary,3,3.5200566659782786
primary,4,0.5659607484256388
secondary,3,1.027686934990852
primary,3,8.686005826609646
secondary,4,3.736194109658883
primary,3,1.4463305687416856
primary,3,2.2712212506225296
residential,4,11.414771009339503
residential,1,49.4046453774823
tertiary,4,17.023171825831813
secondary,1,19.01637098690924
trunk,1,15.131825508109415
trunk,3,1.3905375350538274
trunk,3,0.8761481085746907
primary,3,14.053757631868098
primary,3,11.611968945038104
primary,3,0.06272585206821436
primary,4,14.497933603350287
tertiary,3,20.960091232477684
tertiary,3,27.890373744949663
tertiary,3,8.592026490511122
trunk,4,5.249373793835704
trunk_link,3,3.6912703030562213
primary,3,3.8489587037840702
trunk,4,3.1364776903656804
residential,3,5.381494939301404
secondary,3,0.9075387580883723
trunk,3,29.642799541830456
primary,4,1.2451678169532074
primary,3,5.4350028086307685
primary_link,3,15.442326553007918
